model name,number,active features,result
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.99
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.988
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.99
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.99
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.99
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.99
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.99
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.99
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.99
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.972
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.968
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.974
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.966
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.9
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.92
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.04
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.92
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.9
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.9
01001,9,"['AVG_DEGREE', 'NODES_IN_DANGER']",0.994
01001,9,"['AVG_DEGREE', 'NODES_IN_DANGER']",0.995
01001,9,"['AVG_DEGREE', 'NODES_IN_DANGER']",0.995
01001,9,"['AVG_DEGREE', 'NODES_IN_DANGER']",0.994
01001,9,"['AVG_DEGREE', 'NODES_IN_DANGER']",0.001
01001,9,"['AVG_DEGREE', 'NODES_IN_DANGER']",0.994
01001,9,"['AVG_DEGREE', 'NODES_IN_DANGER']",0.994
01001,9,"['AVG_DEGREE', 'NODES_IN_DANGER']",0.994
01001,9,"['AVG_DEGREE', 'NODES_IN_DANGER']",0.994
